10.64,14.36
10.65,15.56
10.68,15.76
10.68,15.89
10.82,15.95
10.85,16.02
16.91,16.06
16.92,16.08
16.92,16.33
16.97,16.41
17.08,16.50
17.10,16.51
17.12,16.53
17.15,16.55
17.30,16.78
17.31,16.79
17.33,16.89
17.33,16.91
17.35,16.96
17.36,16.97
17.36,16.98
17.37,16.99
17.37,17.02
17.39,17.02
17.41,17.10
17.42,17.14
17.44,17.20
17.45,17.24
17.46,17.24
17.50,17.30
17.51,17.32
17.51,17.33
17.59,17.38
17.62,17.43
17.65,17.47
17.65,17.58
17.73,17.61
17.81,17.67
17.82,17.76
17.82,17.76
17.87,17.77
17.90,17.93
17.96,17.96
17.98,17.97
18.04,18.10
18.04,18.38
18.15,18.41
18.29,18.41
18.45,18.42
18.48,18.52
